[DEBUG] 2021-12-08 19:25:03,904 asyncio: Using selector: SelectSelector
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Change Form
[DEBUG] 2021-12-08 19:25:04,282 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-09 23:58:27,993 asyncio: Using selector: SelectSelector
[INFO] 2021-12-09 23:58:28,289 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-09 23:58:28,290 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-09 23:58:28,290 customuser.forms: Forms added for Custom User Change Form
[DEBUG] 2021-12-09 23:58:28,926 asyncio: Using selector: SelectSelector
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Change Form
[INFO] 2021-12-09 23:58:29,115 django.utils.autoreload: Watching for file changes with StatReloader
[INFO] 2021-12-09 23:58:29,420 daphne.server: HTTP/2 support not enabled (install the http2 and tls Twisted extras)
[INFO] 2021-12-09 23:58:29,420 daphne.server: Configuring endpoint tcp:port=8000:interface=127.0.0.1
[INFO] 2021-12-09 23:58:29,421 daphne.server: Listening on TCP address 127.0.0.1:8000
[DEBUG] 2021-12-09 23:58:45,159 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:45,162 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-09 23:58:45,233 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:45,234 daphne.http_protocol: HTTP close for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:45,234 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53094]
[INFO] 2021-12-09 23:58:45,234 django.channels.server: HTTP GET / 200 [0.07, 127.0.0.1:53094]
[DEBUG] 2021-12-09 23:58:45,246 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:45,249 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:45,255 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:45,256 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:45,256 daphne.http_protocol: HTTP close for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:45,256 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53094]
[INFO] 2021-12-09 23:58:45,256 django.channels.server: HTTP GET /static/customstyle.css 200 [0.01, 127.0.0.1:53094]
[DEBUG] 2021-12-09 23:58:45,258 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:45,258 daphne.http_protocol: HTTP close for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:45,259 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53095]
[INFO] 2021-12-09 23:58:45,259 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.01, 127.0.0.1:53095]
[DEBUG] 2021-12-09 23:58:46,370 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:46,371 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-09 23:58:46,435 daphne.http_protocol: HTTP 404 response started for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:46,436 daphne.http_protocol: HTTP close for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:46,436 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53095]
[WARNING] 2021-12-09 23:58:46,436 django.channels.server: HTTP GET /favicon.ico 404 [0.07, 127.0.0.1:53095]
[DEBUG] 2021-12-09 23:58:48,099 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:48,100 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-09 23:58:48,117 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:48,117 daphne.http_protocol: HTTP close for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:48,118 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53095]
[INFO] 2021-12-09 23:58:48,118 django.channels.server: HTTP GET /profile 200 [0.02, 127.0.0.1:53095]
[DEBUG] 2021-12-09 23:58:48,138 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:48,139 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:48,141 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:48,142 daphne.http_protocol: HTTP close for ['127.0.0.1', 53095]
[DEBUG] 2021-12-09 23:58:48,142 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53095]
[INFO] 2021-12-09 23:58:48,142 django.channels.server: HTTP GET /static/customstyle.css 304 [0.00, 127.0.0.1:53095]
[DEBUG] 2021-12-09 23:58:48,144 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:48,144 daphne.http_protocol: HTTP close for ['127.0.0.1', 53094]
[DEBUG] 2021-12-09 23:58:48,144 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53094]
